location,air_quality_index,water_quality_index,visual_pollution_score,tourist_density,date_recorded,season
Bisha,79.2,83.7,29.1,50.9,2024-05-30,Spring
Khamis Mushait,88.2,90.9,17.4,71.7,2024-05-30,Spring
Muhayil,79.2,85.8,26.2,51.7,2024-05-30,Spring
Abha,94.6,89.0,15.0,88.9,2024-06-09,Summer
Al-Namas,79.2,80.3,27.6,78.0,2024-06-09,Summer
Bisha,79.2,80.5,30.6,87.1,2024-06-09,Summer
Khamis Mushait,88.2,85.6,17.4,83.8,2024-06-09,Summer
Muhayil,79.2,75.0,27.6,72.8,2024-06-09,Summer
Abha,94.6,91.4,17.4,88.3,2024-06-19,Summer
Al-Namas,79.2,72.1,29.9,75.2,2024-06-19,Summer
Bisha,79.2,78.1,29.3,79.6,2024-06-19,Summer
Khamis Mushait,88.2,87.0,25.3,86.3,2024-06-19,Summer
Muhayil,79.2,72.6,31.5,73.2,2024-06-19,Summer
Abha,94.6,89.6,11.0,92.3,2024-06-29,Summer
Al-Namas,79.2,79.9,28.2,83.4,2024-06-29,Summer
Bisha,79.2,77.6,28.1,65.6,2024-06-29,Summer
Khamis Mushait,88.2,89.4,20.8,86.9,2024-06-29,Summer
Muhayil,79.2,76.3,29.1,72.8,2024-06-29,Summer
Abha,94.6,88.8,18.4,93.4,2024-07-09,Summer
Al-Namas,79.2,73.8,28.6,71.0,2024-07-09,Summer
Bisha,79.2,79.3,28.9,75.3,2024-07-09,Summer
Khamis Mushait,88.2,88.1,19.8,90.0,2024-07-09,Summer
Muhayil,79.2,72.1,30.3,71.7,2024-07-09,Summer
Abha,94.6,92.1,16.4,95.3,2024-07-19,Summer
Al-Namas,79.2,75.3,30.4,82.1,2024-07-19,Summer
Bisha,79.2,82.7,27.9,69.9,2024-07-19,Summer
Khamis Mushait,88.2,88.0,24.2,94.5,2024-07-19,Summer
Muhayil,79.2,81.0,27.0,72.3,2024-07-19,Summer
Abha,94.6,94.2,12.3,88.5,2024-07-29,Summer
Al-Namas,79.2,76.6,29.5,84.2,2024-07-29,Summer
Bisha,79.2,75.6,29.2,78.6,2024-07-29,Summer
Khamis Mushait,88.2,81.6,17.5,84.6,2024-07-29,Summer
Muhayil,79.2,75.3,27.5,75.1,2024-07-29,Summer
Abha,94.6,88.3,15.2,99.3,2024-08-08,Summer
Al-Namas,79.2,76.9,26.5,86.4,2024-08-08,Summer
Bisha,79.2,78.0,29.4,81.2,2024-08-08,Summer
Khamis Mushait,88.2,82.8,18.4,87.5,2024-08-08,Summer
Muhayil,79.2,76.6,29.1,72.3,2024-08-08,Summer
Abha,94.6,94.8,14.4,93.3,2024-08-18,Summer
Al-Namas,79.2,69.7,31.5,81.1,2024-08-18,Summer
Bisha,79.2,77.8,31.5,84.1,2024-08-18,Summer
Khamis Mushait,88.2,86.3,18.9,84.7,2024-08-18,Summer
Muhayil,79.2,75.6,32.2,67.0,2024-08-18,Summer
Abha,94.6,96.0,11.6,99.0,2024-08-28,Summer
Al-Namas,79.2,79.2,27.9,79.6,2024-08-28,Summer
Bisha,79.2,73.9,25.3,72.5,2024-08-28,Summer
Khamis Mushait,88.2,87.6,14.6,94.2,2024-08-28,Summer
Muhayil,79.2,75.9,30.0,78.7,2024-08-28,Summer
Abha,94.6,95.2,10.3,59.2,2024-09-07,Autumn
Al-Namas,79.2,72.2,28.4,58.5,2024-09-07,Autumn
Bisha,79.2,76.4,25.8,55.0,2024-09-07,Autumn
Khamis Mushait,88.2,87.1,20.0,71.3,2024-09-07,Autumn
Muhayil,79.2,73.5,27.5,57.0,2024-09-07,Autumn
Abha,94.6,89.7,5.0,56.1,2024-09-17,Autumn
Al-Namas,79.2,81.9,23.3,57.9,2024-09-17,Autumn
Bisha,79.2,77.2,24.9,50.6,2024-09-17,Autumn
Khamis Mushait,88.2,94.1,20.5,55.9,2024-09-17,Autumn
Muhayil,79.2,88.0,28.3,55.0,2024-09-17,Autumn
Abha,94.6,90.6,13.1,67.8,2024-09-27,Autumn
Al-Namas,79.2,82.6,25.0,57.6,2024-09-27,Autumn
Bisha,79.2,79.4,23.7,48.4,2024-09-27,Autumn
Khamis Mushait,88.2,94.8,19.3,72.7,2024-09-27,Autumn
Muhayil,79.2,82.6,27.7,51.6,2024-09-27,Autumn
Abha,94.6,97.8,12.9,67.3,2024-10-07,Autumn
Al-Namas,79.2,76.6,31.3,56.8,2024-10-07,Autumn
Bisha,79.2,78.4,25.9,54.5,2024-10-07,Autumn
Khamis Mushait,88.2,93.5,16.6,69.7,2024-10-07,Autumn
Muhayil,79.2,74.7,22.6,51.0,2024-10-07,Autumn
Abha,94.6,94.1,11.5,57.3,2024-10-17,Autumn
Al-Namas,79.2,74.9,23.6,50.7,2024-10-17,Autumn
Bisha,79.2,79.6,25.3,59.1,2024-10-17,Autumn
Khamis Mushait,88.2,92.4,20.7,60.1,2024-10-17,Autumn
Muhayil,79.2,80.1,26.8,48.9,2024-10-17,Autumn
Abha,94.6,90.8,12.2,65.1,2024-10-27,Autumn
Al-Namas,79.2,79.1,25.4,60.1,2024-10-27,Autumn
Bisha,79.2,80.3,26.9,58.7,2024-10-27,Autumn
Khamis Mushait,88.2,89.6,19.1,68.5,2024-10-27,Autumn
Muhayil,79.2,76.6,26.4,51.1,2024-10-27,Autumn
Abha,94.6,88.2,13.4,74.1,2024-11-06,Autumn
Al-Namas,79.2,79.4,24.0,60.5,2024-11-06,Autumn
Bisha,79.2,78.2,24.4,52.7,2024-11-06,Autumn
Khamis Mushait,88.2,92.1,20.9,69.0,2024-11-06,Autumn
Muhayil,79.2,76.7,21.0,47.5,2024-11-06,Autumn
Abha,94.6,95.4,12.6,68.1,2024-11-16,Autumn
Al-Namas,79.2,80.4,28.7,53.1,2024-11-16,Autumn
Bisha,79.2,78.7,27.8,58.2,2024-11-16,Autumn
Khamis Mushait,88.2,91.4,17.7,59.6,2024-11-16,Autumn
Muhayil,79.2,85.8,26.7,52.9,2024-11-16,Autumn
Abha,94.6,89.4,7.8,66.5,2024-11-26,Autumn
Al-Namas,79.2,86.2,25.0,69.5,2024-11-26,Autumn
Bisha,79.2,79.2,27.2,55.8,2024-11-26,Autumn
Khamis Mushait,88.2,89.3,23.7,64.5,2024-11-26,Autumn
Muhayil,79.2,79.4,22.4,45.3,2024-11-26,Autumn
Abha,94.6,96.3,10.3,80.4,2024-12-06,Winter
Al-Namas,79.2,85.5,27.1,73.5,2024-12-06,Winter
Bisha,79.2,84.5,28.3,62.8,2024-12-06,Winter
Khamis Mushait,88.2,93.8,21.2,77.7,2024-12-06,Winter
Muhayil,79.2,86.8,29.6,67.1,2024-12-06,Winter
Abha,94.6,100.0,11.3,78.6,2024-12-16,Winter
Al-Namas,79.2,83.6,31.7,73.4,2024-12-16,Winter
Bisha,79.2,80.0,24.8,64.1,2024-12-16,Winter
Khamis Mushait,88.2,99.5,19.9,77.5,2024-12-16,Winter
Muhayil,79.2,88.1,26.0,58.4,2024-12-16,Winter
Abha,94.6,97.4,14.4,84.1,2024-12-26,Winter
Al-Namas,79.2,79.2,25.4,72.6,2024-12-26,Winter
Bisha,79.2,91.9,29.7,75.7,2024-12-26,Winter
Khamis Mushait,88.2,93.1,18.5,72.5,2024-12-26,Winter
Muhayil,79.2,90.9,27.8,61.3,2024-12-26,Winter
Abha,94.6,100.0,16.3,88.7,2025-01-05,Winter
Al-Namas,79.2,83.8,25.8,77.2,2025-01-05,Winter
Bisha,79.2,77.1,29.7,66.6,2025-01-05,Winter
Khamis Mushait,88.2,92.6,22.3,71.7,2025-01-05,Winter
Muhayil,79.2,88.4,24.2,47.1,2025-01-05,Winter
Abha,94.6,100.0,17.3,84.4,2025-01-15,Winter
Al-Namas,79.2,80.0,27.7,71.3,2025-01-15,Winter
Bisha,79.2,84.4,26.1,65.8,2025-01-15,Winter
Khamis Mushait,88.2,93.5,18.3,83.7,2025-01-15,Winter
Muhayil,79.2,87.4,26.9,67.6,2025-01-15,Winter
Abha,94.6,100.0,13.2,82.3,2025-01-25,Winter
Al-Namas,79.2,85.4,26.3,74.0,2025-01-25,Winter
Bisha,79.2,86.6,29.1,60.6,2025-01-25,Winter
Khamis Mushait,88.2,91.3,17.6,84.4,2025-01-25,Winter
Muhayil,79.2,84.9,31.1,65.6,2025-01-25,Winter
Abha,94.6,100.0,18.5,87.7,2025-02-04,Winter
Al-Namas,79.2,80.8,28.1,72.5,2025-02-04,Winter
Bisha,79.2,80.7,29.7,74.5,2025-02-04,Winter
Khamis Mushait,88.2,89.1,18.6,74.3,2025-02-04,Winter
Muhayil,79.2,81.2,29.4,72.8,2025-02-04,Winter
Abha,94.6,98.5,9.0,77.5,2025-02-14,Winter
Al-Namas,79.2,84.2,27.6,77.8,2025-02-14,Winter
Bisha,79.2,90.7,24.8,61.3,2025-02-14,Winter
Khamis Mushait,88.2,88.6,20.4,78.6,2025-02-14,Winter
Muhayil,79.2,88.8,25.6,65.7,2025-02-14,Winter
Abha,94.6,98.6,12.8,81.4,2025-02-24,Winter
Al-Namas,79.2,86.2,28.6,75.9,2025-02-24,Winter
Bisha,79.2,83.4,26.5,67.6,2025-02-24,Winter
Khamis Mushait,88.2,94.5,18.9,70.8,2025-02-24,Winter
Muhayil,79.2,91.2,24.8,62.7,2025-02-24,Winter
Abha,94.6,100.0,13.8,66.3,2025-03-06,Spring
Al-Namas,79.2,81.0,27.4,60.5,2025-03-06,Spring
Bisha,79.2,83.3,25.8,44.8,2025-03-06,Spring
Khamis Mushait,88.2,94.2,20.0,71.1,2025-03-06,Spring
Muhayil,79.2,75.7,28.8,48.8,2025-03-06,Spring
Abha,94.6,94.3,12.0,77.7,2025-03-16,Spring
Al-Namas,79.2,79.6,27.7,56.5,2025-03-16,Spring
Bisha,79.2,82.1,26.1,58.5,2025-03-16,Spring
Khamis Mushait,88.2,90.3,18.6,74.7,2025-03-16,Spring
Muhayil,79.2,84.1,22.7,57.2,2025-03-16,Spring
Abha,94.6,96.7,11.8,68.0,2025-03-26,Spring
Al-Namas,79.2,78.1,28.0,60.2,2025-03-26,Spring
Bisha,79.2,80.0,27.9,56.1,2025-03-26,Spring
Khamis Mushait,88.2,93.0,17.5,74.2,2025-03-26,Spring
Muhayil,79.2,79.1,28.3,64.2,2025-03-26,Spring
Abha,94.6,97.4,13.5,75.7,2025-04-05,Spring
Al-Namas,79.2,82.0,25.0,55.1,2025-04-05,Spring
Bisha,79.2,81.1,25.6,67.1,2025-04-05,Spring
Khamis Mushait,88.2,88.3,15.9,54.5,2025-04-05,Spring
Muhayil,79.2,81.9,25.5,49.9,2025-04-05,Spring
Abha,94.6,95.8,12.3,74.1,2025-04-15,Spring
Al-Namas,79.2,83.1,27.4,61.9,2025-04-15,Spring
Bisha,79.2,85.0,30.0,51.1,2025-04-15,Spring
Khamis Mushait,88.2,87.7,16.8,69.9,2025-04-15,Spring
Muhayil,79.2,83.9,27.6,55.4,2025-04-15,Spring
Abha,94.6,96.5,12.1,70.3,2025-04-25,Spring
Al-Namas,79.2,79.2,23.2,56.2,2025-04-25,Spring
Bisha,79.2,80.0,25.9,57.8,2025-04-25,Spring
Khamis Mushait,88.2,96.9,17.8,60.5,2025-04-25,Spring
Muhayil,79.2,84.7,23.7,54.5,2025-04-25,Spring
Abha,94.6,99.4,17.7,79.5,2025-05-05,Spring
Al-Namas,79.2,88.3,26.9,59.4,2025-05-05,Spring
Bisha,79.2,84.7,25.6,50.2,2025-05-05,Spring
Khamis Mushait,88.2,93.2,19.9,63.7,2025-05-05,Spring
Muhayil,79.2,77.8,27.4,59.3,2025-05-05,Spring
Abha,94.6,94.2,13.6,83.4,2025-05-15,Spring
Al-Namas,79.2,83.9,27.5,69.7,2025-05-15,Spring
Bisha,79.2,84.9,28.8,57.8,2025-05-15,Spring
Khamis Mushait,88.2,98.3,19.1,68.9,2025-05-15,Spring
Muhayil,79.2,80.8,25.3,46.5,2025-05-15,Spring
Abha,94.6,100.0,15.3,63.9,2025-05-25,Spring
Al-Namas,79.2,79.7,30.1,58.6,2025-05-25,Spring
Bisha,79.2,81.0,25.4,49.4,2025-05-25,Spring
Khamis Mushait,88.2,89.6,17.7,65.1,2025-05-25,Spring
Muhayil,79.2,74.6,27.3,58.6,2025-05-25,Spring
Abha,94.6,94.3,15.7,92.6,2025-06-04,Summer
Al-Namas,79.2,78.2,30.2,84.6,2025-06-04,Summer
Bisha,79.2,75.5,31.1,69.6,2025-06-04,Summer
Khamis Mushait,88.2,89.3,21.5,88.9,2025-06-04,Summer
Muhayil,79.2,78.0,28.5,69.7,2025-06-04,Summer
Abha,94.6,91.2,13.7,90.4,2025-06-14,Summer
Al-Namas,79.2,75.8,29.4,79.1,2025-06-14,Summer
Bisha,79.2,78.6,26.2,68.4,2025-06-14,Summer
Khamis Mushait,88.2,85.6,24.4,93.6,2025-06-14,Summer
Muhayil,79.2,74.1,29.1,82.3,2025-06-14,Summer
Abha,94.6,97.1,12.5,95.0,2025-06-24,Summer
Al-Namas,79.2,77.7,24.9,82.9,2025-06-24,Summer
Bisha,79.2,76.8,25.5,65.5,2025-06-24,Summer
Khamis Mushait,88.2,88.0,22.4,82.4,2025-06-24,Summer
Muhayil,79.2,77.0,28.1,73.7,2025-06-24,Summer
Abha,94.6,86.9,20.8,99.2,2025-07-04,Summer
Al-Namas,79.2,78.4,28.6,87.2,2025-07-04,Summer
Bisha,79.2,76.8,29.0,77.7,2025-07-04,Summer
Khamis Mushait,88.2,86.1,20.1,89.1,2025-07-04,Summer
Muhayil,79.2,80.9,27.2,72.5,2025-07-04,Summer
Abha,94.6,91.5,13.6,100.0,2025-07-14,Summer
Al-Namas,79.2,74.8,28.3,81.6,2025-07-14,Summer
Bisha,79.2,76.3,28.1,71.3,2025-07-14,Summer
Khamis Mushait,88.2,84.2,17.5,79.1,2025-07-14,Summer
Muhayil,79.2,83.5,26.6,79.5,2025-07-14,Summer
Abha,94.6,90.9,11.8,93.8,2025-07-24,Summer
Al-Namas,79.2,78.3,28.0,83.6,2025-07-24,Summer
Bisha,79.2,77.0,26.2,70.4,2025-07-24,Summer
Khamis Mushait,88.2,92.3,24.9,86.3,2025-07-24,Summer
Muhayil,79.2,79.6,30.0,70.1,2025-07-24,Summer
Abha,94.6,95.9,17.4,98.4,2025-08-03,Summer
Al-Namas,79.2,77.2,30.4,81.1,2025-08-03,Summer
Bisha,79.2,73.1,26.3,74.3,2025-08-03,Summer
Khamis Mushait,88.2,83.3,20.4,88.9,2025-08-03,Summer
Muhayil,79.2,77.3,29.6,75.1,2025-08-03,Summer
Abha,94.6,90.8,13.5,91.9,2025-08-13,Summer
Al-Namas,79.2,76.2,25.9,83.6,2025-08-13,Summer
Bisha,79.2,80.5,29.4,72.2,2025-08-13,Summer
Khamis Mushait,88.2,86.1,23.8,84.1,2025-08-13,Summer
Muhayil,79.2,77.5,29.7,75.3,2025-08-13,Summer
Abha,94.6,90.9,16.3,95.8,2025-08-23,Summer
Al-Namas,79.2,73.2,27.9,79.7,2025-08-23,Summer
Bisha,79.2,80.1,27.8,78.7,2025-08-23,Summer
Khamis Mushait,88.2,87.8,18.9,95.5,2025-08-23,Summer
Muhayil,79.2,83.9,27.6,65.5,2025-08-23,Summer
Abha,94.6,92.7,9.6,64.4,2025-09-02,Autumn
Al-Namas,79.2,76.0,29.5,60.1,2025-09-02,Autumn
Bisha,79.2,77.5,29.2,58.9,2025-09-02,Autumn
Khamis Mushait,88.2,90.8,18.8,72.9,2025-09-02,Autumn
Muhayil,79.2,82.9,27.4,51.8,2025-09-02,Autumn
Abha,94.6,93.4,15.2,80.7,2025-09-12,Autumn
Al-Namas,79.2,75.7,23.0,53.5,2025-09-12,Autumn
Bisha,79.2,78.9,29.4,60.9,2025-09-12,Autumn
Khamis Mushait,88.2,90.1,17.1,56.0,2025-09-12,Autumn
Muhayil,79.2,79.2,29.2,57.2,2025-09-12,Autumn
Abha,94.6,90.5,12.9,72.2,2025-09-22,Autumn
Al-Namas,79.2,82.6,25.2,63.4,2025-09-22,Autumn
Bisha,79.2,77.5,26.0,58.2,2025-09-22,Autumn
Khamis Mushait,88.2,85.3,16.4,75.2,2025-09-22,Autumn
Muhayil,79.2,72.6,25.6,45.8,2025-09-22,Autumn
Abha,94.6,92.7,12.7,65.8,2025-10-02,Autumn
Al-Namas,79.2,81.4,29.8,54.6,2025-10-02,Autumn
Bisha,79.2,82.0,23.6,53.7,2025-10-02,Autumn
Khamis Mushait,88.2,86.7,18.3,56.5,2025-10-02,Autumn
Muhayil,79.2,83.9,25.2,50.5,2025-10-02,Autumn
Abha,94.6,98.2,13.1,75.5,2025-10-12,Autumn
Al-Namas,79.2,80.8,27.9,55.2,2025-10-12,Autumn
Bisha,79.2,78.9,26.7,61.2,2025-10-12,Autumn
Khamis Mushait,88.2,84.0,17.8,54.6,2025-10-12,Autumn
Muhayil,79.2,78.9,26.5,54.9,2025-10-12,Autumn
Abha,94.6,89.6,10.2,65.6,2025-10-22,Autumn
Al-Namas,79.2,81.7,27.1,59.9,2025-10-22,Autumn
Bisha,79.2,82.8,24.9,55.7,2025-10-22,Autumn
Khamis Mushait,88.2,87.8,20.3,62.1,2025-10-22,Autumn
Muhayil,79.2,81.9,27.0,54.9,2025-10-22,Autumn
Abha,94.6,89.9,10.8,67.5,2025-11-01,Autumn
Al-Namas,79.2,79.8,24.3,57.0,2025-11-01,Autumn
Bisha,79.2,83.7,24.8,49.8,2025-11-01,Autumn
Khamis Mushait,88.2,87.5,17.1,49.9,2025-11-01,Autumn
Muhayil,79.2,77.6,26.9,53.9,2025-11-01,Autumn
Abha,94.6,92.8,10.0,71.5,2025-11-11,Autumn
Al-Namas,79.2,73.2,27.3,57.5,2025-11-11,Autumn
Bisha,79.2,76.1,22.7,48.2,2025-11-11,Autumn
Khamis Mushait,88.2,93.8,17.9,65.4,2025-11-11,Autumn
Muhayil,79.2,81.6,25.7,49.4,2025-11-11,Autumn
Abha,94.6,95.4,12.0,60.8,2025-11-21,Autumn
Al-Namas,79.2,73.3,21.7,60.9,2025-11-21,Autumn
Bisha,79.2,78.6,26.1,52.3,2025-11-21,Autumn
Khamis Mushait,88.2,84.5,21.3,71.7,2025-11-21,Autumn
Muhayil,79.2,69.5,20.9,45.7,2025-11-21,Autumn
Abha,94.6,100.0,12.2,88.6,2025-12-01,Winter
Al-Namas,79.2,84.7,27.3,77.3,2025-12-01,Winter
Bisha,79.2,85.7,26.8,66.8,2025-12-01,Winter
Khamis Mushait,88.2,90.9,19.3,78.3,2025-12-01,Winter
Muhayil,79.2,87.9,26.5,70.3,2025-12-01,Winter
Abha,94.6,100.0,15.8,82.5,2025-12-11,Winter
Al-Namas,79.2,83.5,28.0,63.5,2025-12-11,Winter
Bisha,79.2,86.2,27.9,66.7,2025-12-11,Winter
Khamis Mushait,88.2,93.8,19.4,80.8,2025-12-11,Winter
Muhayil,79.2,84.2,25.7,58.4,2025-12-11,Winter
Abha,94.6,100.0,14.7,84.3,2025-12-21,Winter
Al-Namas,79.2,83.3,25.3,75.5,2025-12-21,Winter
Bisha,79.2,82.8,28.0,63.2,2025-12-21,Winter
Khamis Mushait,88.2,91.0,19.3,81.1,2025-12-21,Winter
Muhayil,79.2,84.7,23.8,65.8,2025-12-21,Winter
Abha,94.6,100.0,14.0,78.5,2025-12-31,Winter
Al-Namas,79.2,84.0,29.4,72.1,2025-12-31,Winter
Bisha,79.2,88.4,29.0,62.3,2025-12-31,Winter
Khamis Mushait,88.2,95.3,20.0,74.1,2025-12-31,Winter
Muhayil,79.2,89.8,22.4,64.6,2025-12-31,Winter
